INFO:root:Epoch 1,  Train_Loss:1.924,   Test_loss:0.339,   Accuracy:35.710
INFO:root:Epoch 2,  Train_Loss:1.382,   Test_loss:0.275,   Accuracy:53.400
INFO:root:Epoch 3,  Train_Loss:1.014,   Test_loss:0.181,   Accuracy:67.690
INFO:root:Epoch 4,  Train_Loss:0.801,   Test_loss:0.149,   Accuracy:75.200
INFO:root:Epoch 5,  Train_Loss:0.655,   Test_loss:0.145,   Accuracy:75.450
INFO:root:Epoch 6,  Train_Loss:0.557,   Test_loss:0.126,   Accuracy:80.090
INFO:root:Epoch 7,  Train_Loss:0.473,   Test_loss:0.152,   Accuracy:76.720
INFO:root:Epoch 8,  Train_Loss:0.399,   Test_loss:0.114,   Accuracy:81.030
INFO:root:Epoch 9,  Train_Loss:0.335,   Test_loss:0.126,   Accuracy:81.270
INFO:root:Epoch 10,  Train_Loss:0.280,   Test_loss:0.134,   Accuracy:80.640
INFO:root:Epoch 11,  Train_Loss:0.232,   Test_loss:0.121,   Accuracy:82.960
INFO:root:Epoch 12,  Train_Loss:0.197,   Test_loss:0.131,   Accuracy:82.560
INFO:root:Epoch 13,  Train_Loss:0.171,   Test_loss:0.132,   Accuracy:83.020
INFO:root:Epoch 14,  Train_Loss:0.147,   Test_loss:0.139,   Accuracy:82.740
INFO:root:Epoch 15,  Train_Loss:0.129,   Test_loss:0.140,   Accuracy:83.360
INFO:root:Epoch 16,  Train_Loss:0.119,   Test_loss:0.151,   Accuracy:83.170
INFO:root:Epoch 17,  Train_Loss:0.104,   Test_loss:0.162,   Accuracy:83.460
INFO:root:Epoch 18,  Train_Loss:0.102,   Test_loss:0.152,   Accuracy:83.110
INFO:root:Epoch 19,  Train_Loss:0.091,   Test_loss:0.148,   Accuracy:82.580
INFO:root:Epoch 20,  Train_Loss:0.093,   Test_loss:0.157,   Accuracy:83.820
