INFO:root:Epoch 1,  Train_Loss:2.059,   Test_loss:0.363,   Accuracy:30.030
INFO:root:Epoch 2,  Train_Loss:1.435,   Test_loss:0.310,   Accuracy:44.160
INFO:root:Epoch 3,  Train_Loss:1.071,   Test_loss:0.264,   Accuracy:54.430
INFO:root:Epoch 4,  Train_Loss:0.863,   Test_loss:0.311,   Accuracy:51.150
INFO:root:Epoch 5,  Train_Loss:0.723,   Test_loss:0.289,   Accuracy:53.480
INFO:root:Epoch 6,  Train_Loss:0.624,   Test_loss:1.390,   Accuracy:53.010
INFO:root:Epoch 7,  Train_Loss:0.545,   Test_loss:3.142,   Accuracy:53.550
INFO:root:Epoch 8,  Train_Loss:0.470,   Test_loss:1.178,   Accuracy:52.280
INFO:root:Epoch 9,  Train_Loss:0.410,   Test_loss:6.158,   Accuracy:52.180
INFO:root:Epoch 10,  Train_Loss:0.358,   Test_loss:2.537,   Accuracy:52.760
INFO:root:Epoch 11,  Train_Loss:0.314,   Test_loss:3.389,   Accuracy:51.870
INFO:root:Epoch 12,  Train_Loss:0.276,   Test_loss:5.928,   Accuracy:51.640
INFO:root:Epoch 13,  Train_Loss:0.251,   Test_loss:39.016,   Accuracy:46.400
INFO:root:Epoch 14,  Train_Loss:0.221,   Test_loss:15.759,   Accuracy:48.840
INFO:root:Epoch 15,  Train_Loss:0.203,   Test_loss:20.611,   Accuracy:48.830
INFO:root:Epoch 16,  Train_Loss:0.183,   Test_loss:19.811,   Accuracy:50.330
INFO:root:Epoch 17,  Train_Loss:0.168,   Test_loss:27.215,   Accuracy:48.210
INFO:root:Epoch 18,  Train_Loss:0.157,   Test_loss:40.028,   Accuracy:47.260
INFO:root:Epoch 19,  Train_Loss:0.151,   Test_loss:94.669,   Accuracy:44.750
INFO:root:Epoch 20,  Train_Loss:0.138,   Test_loss:87.117,   Accuracy:40.970
