INFO:root:Epoch 1,  Train_Loss:1.407,   Test_loss:0.250,   Accuracy:54.650
INFO:root:Epoch 2,  Train_Loss:0.852,   Test_loss:0.179,   Accuracy:69.580
INFO:root:Epoch 3,  Train_Loss:0.621,   Test_loss:0.164,   Accuracy:72.440
INFO:root:Epoch 4,  Train_Loss:0.477,   Test_loss:0.128,   Accuracy:78.650
INFO:root:Epoch 5,  Train_Loss:0.371,   Test_loss:0.143,   Accuracy:77.390
INFO:root:Epoch 6,  Train_Loss:0.284,   Test_loss:0.129,   Accuracy:79.810
INFO:root:Epoch 7,  Train_Loss:0.224,   Test_loss:0.152,   Accuracy:78.640
INFO:root:Epoch 8,  Train_Loss:0.157,   Test_loss:0.125,   Accuracy:82.770
INFO:root:Epoch 9,  Train_Loss:0.117,   Test_loss:0.200,   Accuracy:77.630
INFO:root:Epoch 10,  Train_Loss:0.101,   Test_loss:0.341,   Accuracy:67.670
INFO:root:Epoch 11,  Train_Loss:0.075,   Test_loss:0.160,   Accuracy:81.030
INFO:root:Epoch 12,  Train_Loss:0.068,   Test_loss:0.214,   Accuracy:79.970
INFO:root:Epoch 13,  Train_Loss:0.058,   Test_loss:0.189,   Accuracy:80.020
INFO:root:Epoch 14,  Train_Loss:0.052,   Test_loss:0.214,   Accuracy:79.120
INFO:root:Epoch 15,  Train_Loss:0.036,   Test_loss:0.195,   Accuracy:82.350
INFO:root:Epoch 16,  Train_Loss:0.044,   Test_loss:0.177,   Accuracy:82.860
INFO:root:Epoch 17,  Train_Loss:0.032,   Test_loss:0.175,   Accuracy:82.340
INFO:root:Epoch 18,  Train_Loss:0.033,   Test_loss:0.226,   Accuracy:79.330
INFO:root:Epoch 19,  Train_Loss:0.036,   Test_loss:0.218,   Accuracy:80.800
INFO:root:Epoch 20,  Train_Loss:0.033,   Test_loss:0.251,   Accuracy:78.050
