INFO:root:Epoch 1,  Train_Loss:1.417,   Test_loss:0.231,   Accuracy:59.200
INFO:root:Epoch 2,  Train_Loss:0.910,   Test_loss:0.206,   Accuracy:66.020
INFO:root:Epoch 3,  Train_Loss:0.699,   Test_loss:0.137,   Accuracy:76.800
INFO:root:Epoch 4,  Train_Loss:0.574,   Test_loss:0.132,   Accuracy:77.790
INFO:root:Epoch 5,  Train_Loss:0.475,   Test_loss:0.121,   Accuracy:80.230
INFO:root:Epoch 6,  Train_Loss:0.387,   Test_loss:0.111,   Accuracy:82.230
INFO:root:Epoch 7,  Train_Loss:0.316,   Test_loss:0.114,   Accuracy:82.810
INFO:root:Epoch 8,  Train_Loss:0.258,   Test_loss:0.116,   Accuracy:82.760
INFO:root:Epoch 9,  Train_Loss:0.208,   Test_loss:0.110,   Accuracy:83.970
INFO:root:Epoch 10,  Train_Loss:0.172,   Test_loss:0.110,   Accuracy:85.190
INFO:root:Epoch 11,  Train_Loss:0.141,   Test_loss:0.118,   Accuracy:84.950
INFO:root:Epoch 12,  Train_Loss:0.118,   Test_loss:0.129,   Accuracy:84.240
INFO:root:Epoch 13,  Train_Loss:0.102,   Test_loss:0.116,   Accuracy:86.010
INFO:root:Epoch 14,  Train_Loss:0.092,   Test_loss:0.123,   Accuracy:85.080
INFO:root:Epoch 15,  Train_Loss:0.079,   Test_loss:0.133,   Accuracy:85.190
INFO:root:Epoch 16,  Train_Loss:0.073,   Test_loss:0.139,   Accuracy:84.130
INFO:root:Epoch 17,  Train_Loss:0.069,   Test_loss:0.143,   Accuracy:84.900
INFO:root:Epoch 18,  Train_Loss:0.059,   Test_loss:0.161,   Accuracy:85.190
INFO:root:Epoch 19,  Train_Loss:0.056,   Test_loss:0.163,   Accuracy:84.400
INFO:root:Epoch 20,  Train_Loss:0.057,   Test_loss:0.145,   Accuracy:85.330
