INFO:root:Epoch 1,  Train_Loss:1.246,   Test_loss:0.196,   Accuracy:65.480
INFO:root:Epoch 2,  Train_Loss:0.768,   Test_loss:0.159,   Accuracy:72.810
INFO:root:Epoch 3,  Train_Loss:0.581,   Test_loss:0.133,   Accuracy:77.480
INFO:root:Epoch 4,  Train_Loss:0.457,   Test_loss:0.115,   Accuracy:80.690
INFO:root:Epoch 5,  Train_Loss:0.371,   Test_loss:0.104,   Accuracy:83.240
INFO:root:Epoch 6,  Train_Loss:0.301,   Test_loss:0.104,   Accuracy:83.710
INFO:root:Epoch 7,  Train_Loss:0.238,   Test_loss:0.104,   Accuracy:84.010
INFO:root:Epoch 8,  Train_Loss:0.187,   Test_loss:0.115,   Accuracy:83.510
INFO:root:Epoch 9,  Train_Loss:0.150,   Test_loss:0.125,   Accuracy:83.430
INFO:root:Epoch 10,  Train_Loss:0.121,   Test_loss:0.121,   Accuracy:85.010
INFO:root:Epoch 11,  Train_Loss:0.100,   Test_loss:0.125,   Accuracy:85.140
INFO:root:Epoch 12,  Train_Loss:0.085,   Test_loss:0.122,   Accuracy:85.040
INFO:root:Epoch 13,  Train_Loss:0.073,   Test_loss:0.159,   Accuracy:84.510
INFO:root:Epoch 14,  Train_Loss:0.072,   Test_loss:0.140,   Accuracy:84.520
INFO:root:Epoch 15,  Train_Loss:0.059,   Test_loss:0.145,   Accuracy:85.270
INFO:root:Epoch 16,  Train_Loss:0.052,   Test_loss:0.149,   Accuracy:85.530
INFO:root:Epoch 17,  Train_Loss:0.053,   Test_loss:0.150,   Accuracy:84.630
INFO:root:Epoch 18,  Train_Loss:0.050,   Test_loss:0.165,   Accuracy:84.650
INFO:root:Epoch 19,  Train_Loss:0.042,   Test_loss:0.160,   Accuracy:85.480
INFO:root:Epoch 20,  Train_Loss:0.042,   Test_loss:0.155,   Accuracy:84.940
