INFO:root:Epoch 1,  Train_Loss:1.203,   Test_loss:0.201,   Accuracy:65.070
INFO:root:Epoch 2,  Train_Loss:0.737,   Test_loss:0.165,   Accuracy:72.350
INFO:root:Epoch 3,  Train_Loss:0.555,   Test_loss:0.128,   Accuracy:78.640
INFO:root:Epoch 4,  Train_Loss:0.438,   Test_loss:0.157,   Accuracy:73.870
INFO:root:Epoch 5,  Train_Loss:0.346,   Test_loss:0.114,   Accuracy:81.530
INFO:root:Epoch 6,  Train_Loss:0.277,   Test_loss:0.107,   Accuracy:82.700
INFO:root:Epoch 7,  Train_Loss:0.215,   Test_loss:0.136,   Accuracy:80.540
INFO:root:Epoch 8,  Train_Loss:0.169,   Test_loss:0.122,   Accuracy:82.490
INFO:root:Epoch 9,  Train_Loss:0.133,   Test_loss:0.151,   Accuracy:82.120
INFO:root:Epoch 10,  Train_Loss:0.111,   Test_loss:0.142,   Accuracy:81.970
INFO:root:Epoch 11,  Train_Loss:0.084,   Test_loss:0.174,   Accuracy:81.920
INFO:root:Epoch 12,  Train_Loss:0.081,   Test_loss:0.148,   Accuracy:82.690
INFO:root:Epoch 13,  Train_Loss:0.066,   Test_loss:0.158,   Accuracy:82.570
INFO:root:Epoch 14,  Train_Loss:0.058,   Test_loss:0.175,   Accuracy:82.340
INFO:root:Epoch 15,  Train_Loss:0.049,   Test_loss:0.154,   Accuracy:84.850
INFO:root:Epoch 16,  Train_Loss:0.049,   Test_loss:0.137,   Accuracy:84.630
INFO:root:Epoch 17,  Train_Loss:0.046,   Test_loss:0.150,   Accuracy:84.410
INFO:root:Epoch 18,  Train_Loss:0.038,   Test_loss:0.159,   Accuracy:84.520
INFO:root:Epoch 19,  Train_Loss:0.045,   Test_loss:0.156,   Accuracy:83.860
INFO:root:Epoch 20,  Train_Loss:0.034,   Test_loss:0.160,   Accuracy:84.860
